brand,breadcrumbs,colour,description,image_urls,price,primary_image_url,product_id,product_name,product_url,reviews,sizes,sku
CARBON38,"Home,Shop All,Tops,V-Neck Tank in Ribbed Melt",Black,77%POLYESTER 23%SPANDEX,"//carbon38.com/cdn/shop/files/CARB-YD375R-BLK-24HOL-Rib-Melt-Vneck-Tank-color-Black_10562-Edit.jpg?v=1738701047&width=1000,//carbon38.com/cdn/shop/files/CARB-YD375R-BLK-24HOL-Rib-Melt-Vneck-Tank-color-Black_10548-Edit.jpg?v=1738701047&width=1000,//carbon38.com/cdn/shop/files/CARB-YD375R-BLK-24HOL-Rib-Melt-Vneck-Tank-color-Black_10567-Edit.jpg?v=1738701047&width=1000,//carbon38.com/cdn/shop/files/CARB-YD375R-BLK-24HOL-Rib-Melt-Vneck-Tank-color-Black_10571-Edit.jpg?v=1738701047&width=1000,//carbon38.com/cdn/shop/files/CARB-YD375R-BLK-24HOL-Rib-Melt-Vneck-Tank-color-Black_10579-Edit.jpg?v=1738701047&width=1000,//carbon38.com/cdn/shop/files/CARB-YD375R-BLK-24HOL-Rib-Melt-Vneck-Tank-color-Black_10582-Edit.jpg?v=1738701047&width=1000,//carbon38.com/cdn/shop/files/CARB-YD375R-BLK-24HOL-Rib-Melt-Vneck-Tank-color-Black_9745-Edit.jpg?v=1738701047&width=1000,//carbon38.com/cdn/shop/files/RIBBED_MELT_BLACK_12284-Edit_d5a35d1d-1533-4973-938c-2ced470642a8.jpg?v=1740163030&width=1000",$108.00 USD,//carbon38.com/cdn/shop/files/CARB-YD375R-BLK-24HOL-Rib-Melt-Vneck-Tank-color-Black_10562-Edit.jpg?v=1738701047&width=1000,7894194585789,V-Neck Tank in Ribbed Melt,https://carbon38.com/products/rib-melt-vneck-tank-black,0,"XS,S,M,L,XL",CARB-YD375R-BLK-24HOL-XS
CARBON38,"Home,Shop All,Tops,Bodysuit in Ribbed Melt",Black,77%POLYESTER 23%SPANDEX,"//carbon38.com/cdn/shop/files/CARB-YD439R-BLK-24HOL-Rib-Melt-Bodysuit-color-Black_10615-Edit.jpg?v=1737073764&width=1000,//carbon38.com/cdn/shop/files/CARB-YD439R-BLK-24HOL-Rib-Melt-Bodysuit-color-Black_10596-Edit.jpg?v=1737073764&width=1000,//carbon38.com/cdn/shop/files/CARB-YD439R-BLK-24HOL-Rib-Melt-Bodysuit-color-Black_10621-Edit.jpg?v=1737073756&width=1000,//carbon38.com/cdn/shop/files/CARB-YD439R-BLK-24HOL-Rib-Melt-Bodysuit-color-Black_10629-Edit.jpg?v=1737073756&width=1000,//carbon38.com/cdn/shop/files/CARB-YD439R-BLK-24HOL-Rib-Melt-Bodysuit-color-Black_10634-Edit.jpg?v=1737073756&width=1000,//carbon38.com/cdn/shop/files/CARB-YD439R-BLK-24HOL-Rib-Melt-Bodysuit-color-Black_10675-Edit.jpg?v=1737073756&width=1000,//carbon38.com/cdn/shop/files/BodySuitsEverydayStyled_1906-Edit.jpg?v=1737755355&width=1000,//carbon38.com/cdn/shop/files/RIBBED_MELT_BLACK_12284-Edit_3779efef-f47e-4d63-bad2-6d7a8de85ffe.jpg?v=1740163045&width=1000",$128.00 USD,//carbon38.com/cdn/shop/files/CARB-YD439R-BLK-24HOL-Rib-Melt-Bodysuit-color-Black_10615-Edit.jpg?v=1737073764&width=1000,7894188556477,Bodysuit in Ribbed Melt,https://carbon38.com/products/rib-melt-bodysuit-black,0,"XS,S,M,L,XL",CARB-YD439R-BLK-24HOL-XS
CARBON38,"Home,Shop All,Tops,Crew Neck Sweatshirt in French Terry",Black,50% Cotton 50% Modal,"//carbon38.com/cdn/shop/files/CARB-YD6140-BLK-25SS-Crew-Sweatshirt-color-Black_10418-Edit.jpg?v=1740086889&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6140-BLK-25SS-Crew-Sweatshirt-color-Black_10433-Edit.jpg?v=1740086889&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6140-BLK-25SS-Crew-Sweatshirt-color-Black_10440-Edit.jpg?v=1740086795&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6140-BLK-25SS-Crew-Sweatshirt-color-Black_10443-Edit.jpg?v=1740086795&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6140-BLK-25SS-Crew-Sweatshirt-color-Black_10447-Edit.jpg?v=1740086795&width=1000,//carbon38.com/cdn/shop/files/BLACK-FRENCH-TERRY_0134-Edit.jpg?v=1741225928&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6140-BLK-25SS-Crew-Sweatshirt-color-Black_10702-Edit.jpg?v=1741225895&width=1000",$138.00 USD,//carbon38.com/cdn/shop/files/CARB-YD6140-BLK-25SS-Crew-Sweatshirt-color-Black_10418-Edit.jpg?v=1740086889&width=1000,7888950198461,Crew Neck Sweatshirt in French Terry,https://carbon38.com/products/crew-sweatshirt-black,0,"XS,S,M,L,XL",CARB-YD6140-BLK-25SS-XS
CARBON38,"Home,Shop All,Tops,Colorblock Mock Neck Corset Zip in Melt",Black/Cloud Dancer,81% Nylon 19% Spandex,"//carbon38.com/cdn/shop/files/CARB-YD579-BLK_WH-24HOL-Colorblock-Mock-Neck-Corset-Zip-in-Melt-color-Black-Cloud-Dancer_10852-Edit.jpg?v=1736885837&width=1000,//carbon38.com/cdn/shop/files/CARB-YD579-BLK_WH-24HOL-Colorblock-Mock-Neck-Corset-Zip-in-Melt-color-Black-Cloud-Dancer_10834-Edit.jpg?v=1736885837&width=1000,//carbon38.com/cdn/shop/files/CARB-YD579-BLK_WH-24HOL-Colorblock-Mock-Neck-Corset-Zip-in-Melt-color-Black-Cloud-Dancer_10861-Edit.jpg?v=1736885837&width=1000,//carbon38.com/cdn/shop/files/CARB-YD579-BLK_WH-24HOL-Colorblock-Mock-Neck-Corset-Zip-in-Melt-color-Black-Cloud-Dancer_10866-Edit.jpg?v=1736885837&width=1000,//carbon38.com/cdn/shop/files/CARB-YD579-BLK_WH-24HOL-Colorblock-Mock-Neck-Corset-Zip-in-Melt-color-Black-Cloud-Dancer_10878-Edit.jpg?v=1736885837&width=1000,//carbon38.com/cdn/shop/files/BLACK-MELT_0079-Edit.jpg?v=1746833753&width=1000,//carbon38.com/cdn/shop/files/CARB-YD579-BLK_WH-24HOL-Colorblock-Mock-Neck-Corset-Zip-in-Melt-color-Black-Cloud-Dancer_9757-Edit.jpg?v=1741298012&width=1000",$117.00 USD,//carbon38.com/cdn/shop/files/CARB-YD579-BLK_WH-24HOL-Colorblock-Mock-Neck-Corset-Zip-in-Melt-color-Black-Cloud-Dancer_10852-Edit.jpg?v=1736885837&width=1000,7936770015421,Colorblock Mock Neck Corset Zip in Melt,https://carbon38.com/products/colorblock-mock-neck-corset-zip-in-melt-black-cloud-dancer,0,"XS,S,M,L,XL",CARB-YD579-BLK/WH-24HOL-XS
GREYSON,"Home,Shop All,Tops,Wren 1/4 Zip",Maltese Blue,90% Polyester | 10% Elastane,"//carbon38.com/cdn/shop/files/GRYSN-LSP25K47-BLUEBLUDRK-Wren-1-4-Zip-color-Maltese-Blue_3601-Edit.jpg?v=1735867663&width=1000,//carbon38.com/cdn/shop/files/GRYSN-LSP25K47-BLUEBLUDRK-Wren-1-4-Zip-color-Maltese-Blue_3590-Edit.jpg?v=1735867663&width=1000,//carbon38.com/cdn/shop/files/GRYSN-LSP25K47-BLUEBLUDRK-Wren-1-4-Zip-color-Maltese-Blue_3617-Edit.jpg?v=1735867659&width=1000,//carbon38.com/cdn/shop/files/GRYSN-LSP25K47-BLUEBLUDRK-Wren-1-4-Zip-color-Maltese-Blue_3623-Edit.jpg?v=1735867659&width=1000,//carbon38.com/cdn/shop/files/GRYSN-LSP25K47-BLUEBLUDRK-Wren-1-4-Zip-color-Maltese-Blue_3633-Edit.jpg?v=1735867659&width=1000,//carbon38.com/cdn/shop/files/GRYSN-LSP25K47-BLUEBLUDRK-Wren-1-4-Zip-color-Maltese-Blue_3634-Edit.jpg?v=1735867659&width=1000",$198.00 USD,//carbon38.com/cdn/shop/files/GRYSN-LSP25K47-BLUEBLUDRK-Wren-1-4-Zip-color-Maltese-Blue_3601-Edit.jpg?v=1735867663&width=1000,7905656307901,Wren 1/4 Zip,https://carbon38.com/products/wren-1-4-zip-maltese-blue,0,"XS,S,M,L,XL",GRYSN-LSP25K47-BLUEBLUDRK-XS
CARBON38,"Home,Shop All,Tops,Off Shoulder Sweatshirt in French Terry",Navy Blazer,50% Cotton 50% Modal,"//carbon38.com/cdn/shop/files/CARB-YD615-NVY-22HOL-Off-Shoulder-Sweatshirt-in-french-terry-color-NAVY-BLAZER_15965.jpg?v=1700258206&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-NVY-22HOL-Off-Shoulder-Sweatshirt-in-french-terry-color-NAVY-BLAZER_15988.jpg?v=1700258206&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-NVY-22HOL-Off-Shoulder-Sweatshirt-in-french-terry-color-NAVY-BLAZER_15977.jpg?v=1700258206&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-NVY-22HOL-Off-Shoulder-Sweatshirt-in-french-terry-color-NAVY-BLAZER_15954.jpg?v=1700258206&width=1000,//carbon38.com/cdn/shop/products/CARB-YD615-NVY-22HOL-Off-Shoulder-Sweatshirt-color-NAVY-BLAZER_2140232.jpg?v=1700258206&width=1000,//carbon38.com/cdn/shop/files/SWATCH_FRENCH_TERRY_NAVY_15285-Edit_d5d2e952-5015-4a2c-afb0-8f889215a64d.jpg?v=1740694663&width=1000,//carbon38.com/cdn/shop/products/CARB-YD615-NVY-22HOL-OffShoulderSweatshirt-color-Navy-blazer_4.jpg?v=1740694663&width=1000",$148.00 USD,//carbon38.com/cdn/shop/files/CARB-YD615-NVY-22HOL-Off-Shoulder-Sweatshirt-in-french-terry-color-NAVY-BLAZER_15965.jpg?v=1700258206&width=1000,7381797437629,Off Shoulder Sweatshirt in French Terry,https://carbon38.com/products/off-shoulder-sweatshirt-navy-blazer,0,"XS,S,M,L,XL",CARB-YD615-NVY-22HOL-XS
CARBON38,"Home,Shop All,Tops,Long RacerBack Tank",Navy Blazer,50% cotton 50% modal. Machine wash cold with like colors. ,"//carbon38.com/cdn/shop/products/CARB-CRB20301-NAVY-Long-RacerBack-Tank-color-NAVY-blazer_2430.jpg?v=1680561172&width=1000,//carbon38.com/cdn/shop/products/CARB-CRB20301-NAVY-Long-RacerBack-Tank-color-NAVY-blazer_2419.jpg?v=1680561172&width=1000,//carbon38.com/cdn/shop/products/CARB-CRB20301-NAVY-Long-RacerBack-Tank-color-NAVY-blazer_2395.jpg?v=1680561172&width=1000,//carbon38.com/cdn/shop/products/CARB-CRB20301-NAVY-Long-RacerBack-Tank-color-NAVY-blazer_2406.jpg?v=1680561172&width=1000,//carbon38.com/cdn/shop/products/CARB-CRB20301-NAVY-Long-RacerBack-Tank-color-NAVY-blazer_24011.jpg?v=1680917874&width=1000",$68.00 USD,//carbon38.com/cdn/shop/products/CARB-CRB20301-NAVY-Long-RacerBack-Tank-color-NAVY-blazer_2430.jpg?v=1680561172&width=1000,7441283121341,Long RacerBack Tank,https://carbon38.com/products/long-racerback-tank-navy-blazer,0,"XS,S,M,L,XL",CARB-YD335-NVY-XS
CARBON38,"Home,Shop All,Tops,Wide Scoop Bra Tank in Melt",Navy Blazer,81% Nylon 19% Spandex,"//carbon38.com/cdn/shop/files/CARB-YD640-NVY-22HOL-Wide-Scoop-Bra-Tank-color-Navy-Blazer_20898.jpg?v=1701307246&width=1000,//carbon38.com/cdn/shop/files/CARB-YD640-NVY-22HOL-Wide-Scoop-Bra-Tank-color-Navy-Blazer_20896.jpg?v=1740591532&width=1000,//carbon38.com/cdn/shop/files/CARB-YD640-NVY-22HOL-Wide-Scoop-Bra-Tank-color-Navy-Blazer_20913.jpg?v=1740591532&width=1000,//carbon38.com/cdn/shop/files/CARB-YD640-NVY-22HOL-Wide-Scoop-Bra-Tank-color-Navy-Blazer_20905.jpg?v=1740591532&width=1000,//carbon38.com/cdn/shop/files/CARB-YD640-NVY-22HOL-Wide-Scoop-Bra-Tank-color-Navy-Blazer_20923.jpg?v=1740591532&width=1000,//carbon38.com/cdn/shop/files/SWATCH_MELT_NAVY_15038-Edit.jpg?v=1749238796&width=1000",$98.00 USD,//carbon38.com/cdn/shop/files/CARB-YD640-NVY-22HOL-Wide-Scoop-Bra-Tank-color-Navy-Blazer_20898.jpg?v=1701307246&width=1000,,Wide Scoop Bra Tank in Melt,https://carbon38.com/products/wide-scoop-bra-tank-3-core-navy,0,"XS,S,M,L,XL",
CARBON38,"Home,Shop All,Tops,Strappy Tank in Melt",Navy Blazer,81% Nylon 19% Spandex,"//carbon38.com/cdn/shop/files/CARB-YD338-BLUE-23FAL-Strappy-Tank-in-Melt-color-Navy-Blazer_3169.jpg?v=1689018986&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338-BLUE-23FAL-Strappy-Tank-in-Melt-color-Navy-Blazer_3180.jpg?v=1689018986&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338-BLUE-23FAL-Strappy-Tank-in-Melt-color-Navy-Blazer_0259-Edit_TXT.jpg?v=1745357333&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338-BLUE-23FAL-Strappy-Tank-in-Melt-color-Navy-Blazer_3187.jpg?v=1745357333&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338-BLUE-23FAL-Strappy-Tank-in-Melt-color-Navy-Blazer_3174.jpg?v=1745357333&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338-BLUE-23FAL-Strappy-Tank-in-Melt-color-Navy-Blazer_3159.jpg?v=1745357333&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338-BLUE-23FAL-Strappy-Tank-in-Melt-color-Navy-Blazer_4234.jpg?v=1745357333&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338-BLUE-23FAL-Strappy-Tank-in-Melt-color-Navy-Blazer_1043.jpg?v=1745357333&width=1000,//carbon38.com/cdn/shop/files/SWATCH_MELT_NAVY_15038-Edit.jpg?v=1749238796&width=1000",$108.00 USD,//carbon38.com/cdn/shop/files/CARB-YD338-BLUE-23FAL-Strappy-Tank-in-Melt-color-Navy-Blazer_3169.jpg?v=1689018986&width=1000,7485225566397,Strappy Tank in Melt,https://carbon38.com/products/strappy-tank-in-melt-navy-blazer,0,"XS,S,M,L,XL",CARB-YD338-BLUE-23FAL-XS
CARBON38,"Home,Shop All,Tops,Long Sleeve Wrap Top in Ribbed Jersey",Navy,"93% MICRO MODAL, 7% SPANDEX","//carbon38.com/cdn/shop/files/CARB-YD658R-BLUE-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-Navy_0537-Edit.jpg?v=1737654207&width=1000,//carbon38.com/cdn/shop/files/CARB-YD658R-BLUE-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-Navy_0531-Edit.jpg?v=1737654207&width=1000,//carbon38.com/cdn/shop/files/CARB-YD658R-BLUE-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-Navy_0546-Edit.jpg?v=1737654207&width=1000,//carbon38.com/cdn/shop/files/CARB-YD658R-BLUE-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-Navy_0549-Edit.jpg?v=1737654207&width=1000,//carbon38.com/cdn/shop/files/CARB-YD658R-BLUE-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-Navy_0554-Edit.jpg?v=1737654207&width=1000,//carbon38.com/cdn/shop/files/CARB-YD658R-BLUE-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-Navy_0572-Edit.jpg?v=1737654207&width=1000,//carbon38.com/cdn/shop/files/CARB-YD658R-BLUE-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-Navy_0367-Edit.jpg?v=1737654207&width=1000",$88.00 USD,//carbon38.com/cdn/shop/files/CARB-YD658R-BLUE-24HOL-Long-Sleeve-Wrap-Top-in-Ribbed-Jersey-color-Navy_0537-Edit.jpg?v=1737654207&width=1000,7883862769853,Long Sleeve Wrap Top in Ribbed Jersey,https://carbon38.com/products/long-sleeve-wrap-top-in-ribbed-jersey-navy,0,"XS,S,M,L,XL",CARB-YD658R-BLUE-24HOL-XS
CARBON38,"Home,Shop All,Tops,Stripe Ringer Tee",Cloud / Navy Stripe,94% COTTON 6% SPANDEX,"//carbon38.com/cdn/shop/files/CARB-YD6157-IVRY-25SS-Stripe-Ringer-Tee-color-Cloud-Navy-Stripe_5322-Edit.jpg?v=1740698355&width=1000,//carbon38.com/cdn/shop/files/STRIPE_SHIRT_10025-Edit.jpg?v=1740698355&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6157-IVRY-25SS-Stripe-Ringer-Tee-color-Cloud-Navy-Stripe_5328-Edit.jpg?v=1740698355&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6157-IVRY-25SS-Stripe-Ringer-Tee-color-Cloud-Navy-Stripe_5338-Edit.jpg?v=1740698355&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6157-IVRY-25SS-Stripe-Ringer-Tee-color-Cloud-Navy-Stripe_5344-Edit.jpg?v=1740698355&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6157-IVRY-25SS-Stripe-Ringer-Tee-color-Cloud-Navy-Stripe_5372-Edit.jpg?v=1740698355&width=1000,//carbon38.com/cdn/shop/files/Carbon38_250129_Ava_4389-Edit.jpg?v=1740698355&width=1000",$78.00 USD,//carbon38.com/cdn/shop/files/CARB-YD6157-IVRY-25SS-Stripe-Ringer-Tee-color-Cloud-Navy-Stripe_5322-Edit.jpg?v=1740698355&width=1000,7911082295485,Stripe Ringer Tee,https://carbon38.com/products/stripe-ringer-tee-cloud-navy-stripe,0,"XS,S,M,L,XL",CARB-YD6157-IVRY-25SS-XS
CARBON38,"Home,Shop All,Tops,Bodysuit in Ribbed Melt",Hydrangea,77%POLYESTER 23%SPANDEX,"//carbon38.com/cdn/shop/files/CARB-YD439R-BLUE-24HOL-Rib-Melt-Bodysuit-color-Hydrangea_10989-Edit.jpg?v=1737073981&width=1000,//carbon38.com/cdn/shop/files/CARB-YD439R-BLUE-24HOL-Rib-Melt-Bodysuit-color-Hydrangea_11004-Edit.jpg?v=1737073981&width=1000,//carbon38.com/cdn/shop/files/CARB-YD439R-BLUE-24HOL-Rib-Melt-Bodysuit-color-Hydrangea_10993-Edit.jpg?v=1737073981&width=1000,//carbon38.com/cdn/shop/files/CARB-YD439R-BLUE-24HOL-Rib-Melt-Bodysuit-color-Hydrangea_10997-Edit.jpg?v=1737073981&width=1000,//carbon38.com/cdn/shop/files/CARB-YD439R-BLUE-24HOL-Rib-Melt-Bodysuit-color-Hydrangea_11000-Edit.jpg?v=1737073981&width=1000,//carbon38.com/cdn/shop/files/CARB-YD439R-BLUE-24HOL-Rib-Melt-Bodysuit-color-Hydrangea_10981-Edit.jpg?v=1737073981&width=1000,//carbon38.com/cdn/shop/files/CARB-YD439R-BLUE-24HOL-Rib-Melt-Bodysuit-color-Hydrangea_9777-Edit.jpg?v=1737073981&width=1000,//carbon38.com/cdn/shop/files/Body_Suits_Everyday_Styled_1967-Edit.jpg?v=1737755271&width=1000,//carbon38.com/cdn/shop/files/RIBBED_MELT_HYDRANGEA_12261-Edit_cbf4acc6-7039-4b2d-beb3-030452bd0a25.jpg?v=1740163189&width=1000",$109.00 USD,//carbon38.com/cdn/shop/files/CARB-YD439R-BLUE-24HOL-Rib-Melt-Bodysuit-color-Hydrangea_10989-Edit.jpg?v=1737073981&width=1000,7889877958845,Bodysuit in Ribbed Melt,https://carbon38.com/products/rib-melt-bodysuit-hydrangea,0,"XS,S,M,L,XL",CARB-YD439R-BLUE-24HOL-XS
CARBON38,"Home,Shop All,Tops,V-Neck Tank in Ribbed Melt",Hydrangea,77%POLYESTER 23%SPANDEX,"//carbon38.com/cdn/shop/files/CARB-YD375R-BLUE-24HOL-Rib-Melt-Vneck-Tank-color-Hydrangea_11031-Edit.jpg?v=1737070737&width=1000,//carbon38.com/cdn/shop/files/CARB-YD375R-BLUE-24HOL-Rib-Melt-Vneck-Tank-color-Hydrangea_11017-Edit.jpg?v=1737070737&width=1000,//carbon38.com/cdn/shop/files/CARB-YD375R-BLUE-24HOL-Rib-Melt-Vneck-Tank-color-Hydrangea_11040-Edit.jpg?v=1737070737&width=1000,//carbon38.com/cdn/shop/files/CARB-YD375R-BLUE-24HOL-Rib-Melt-Vneck-Tank-color-Hydrangea_11046-Edit.jpg?v=1737070737&width=1000,//carbon38.com/cdn/shop/files/CARB-YD375R-BLUE-24HOL-Rib-Melt-Vneck-Tank-color-Hydrangea_11034-Edit.jpg?v=1737070737&width=1000,//carbon38.com/cdn/shop/files/CARB-YD375R-BLUE-24HOL-Rib-Melt-Vneck-Tank-color-Hydrangea_11052-Edit.jpg?v=1737070737&width=1000,//carbon38.com/cdn/shop/files/CARB-YD375R-BLUE-24HOL-Rib-Melt-Vneck-Tank-color-Hydrangea_9742-Edit.jpg?v=1737070737&width=1000,//carbon38.com/cdn/shop/files/RIBBED_MELT_HYDRANGEA_12261-Edit_cabc46d6-9a71-4bce-aa0f-f622bed13927.jpg?v=1740163162&width=1000",$75.00 USD,//carbon38.com/cdn/shop/files/CARB-YD375R-BLUE-24HOL-Rib-Melt-Vneck-Tank-color-Hydrangea_11031-Edit.jpg?v=1737070737&width=1000,7894177546429,V-Neck Tank in Ribbed Melt,https://carbon38.com/products/rib-melt-vneck-tank-hydrangea,0,"XS,S,M,L,XL",CARB-YD375R-BLUE-24HOL-XS
CARBON38,"Home,Shop All,Tops,Ruched Mesh Long Sleeve Top in Melt",Sky Blue,81% Nylon 19% Spandex,"//carbon38.com/cdn/shop/files/CARB-YD6148-BLUE-24HOL-Melt-Mesh-Ruched-Top-color-Sky-Blue_10403-Edit.jpg?v=1737056633&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6148-BLUE-24HOL-Melt-Mesh-Ruched-Top-color-Sky-Blue_10391-Edit.jpg?v=1737056633&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6148-BLUE-24HOL-Melt-Mesh-Ruched-Top-color-Sky-Blue_10409-Edit.jpg?v=1737056633&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6148-BLUE-24HOL-Melt-Mesh-Ruched-Top-color-Sky-Blue_10414-Edit.jpg?v=1737056633&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6148-BLUE-24HOL-Melt-Mesh-Ruched-Top-color-Sky-Blue_10421-Edit.jpg?v=1737056633&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6148-BLUE-24HOL-Melt-Mesh-Ruched-Top-color-Sky-Blue_10428-Edit.jpg?v=1737056633&width=1000,//carbon38.com/cdn/shop/files/RUCHE-MELT-SKY-BLUE_19210-Edit.jpg?v=1742401932&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6148-BLUE-24HOL-Melt-Mesh-Ruched-Top-color-Sky-Blue_9747-Edit.jpg?v=1742401932&width=1000",$109.00 USD,//carbon38.com/cdn/shop/files/CARB-YD6148-BLUE-24HOL-Melt-Mesh-Ruched-Top-color-Sky-Blue_10403-Edit.jpg?v=1737056633&width=1000,7936891355325,Ruched Mesh Long Sleeve Top in Melt,https://carbon38.com/products/melt-mesh-ruched-top-sky-blue,0,"XS,S,M,L,XL",CARB-YD6148-BLUE-24HOL-XS
KERRI ROSENTHAL,"Home,Shop All,Tops,Love is All Around You Sweater",White,The Love,"//carbon38.com/cdn/shop/files/KRRNL-KR25-3420-WHTWHI-Love-is-All-Around-You-Sweater-color-KR25-3420_12408-Edit.jpg?v=1737138046&width=1000,//carbon38.com/cdn/shop/files/KRRNL-KR25-3420-WHTWHI-Love-is-All-Around-You-Sweater-color-KR25-3420_12390-Edit.jpg?v=1737138046&width=1000,//carbon38.com/cdn/shop/files/KRRNL-KR25-3420-WHTWHI-Love-is-All-Around-You-Sweater-color-KR25-3420_12421-Edit.jpg?v=1737138027&width=1000,//carbon38.com/cdn/shop/files/KRRNL-KR25-3420-WHTWHI-Love-is-All-Around-You-Sweater-color-KR25-3420_12430-Edit.jpg?v=1737138027&width=1000,//carbon38.com/cdn/shop/files/KRRNL-KR25-3420-WHTWHI-Love-is-All-Around-You-Sweater-color-KR25-3420_12434-Edit.jpg?v=1737138027&width=1000,//carbon38.com/cdn/shop/files/KRRNL-KR25-3420-WHTWHI-Love-is-All-Around-You-Sweater-color-KR25-3420_12452-Edit.jpg?v=1737138027&width=1000",$348.00 USD,//carbon38.com/cdn/shop/files/KRRNL-KR25-3420-WHTWHI-Love-is-All-Around-You-Sweater-color-KR25-3420_12408-Edit.jpg?v=1737138046&width=1000,,Love is All Around You Sweater,https://carbon38.com/products/love-is-all-around-you-sweater-white,0,"XS,S,M,L,XL",
CARBON38,"Home,Shop All,Tops,Colorblock Scoop Tank in Melt",Sky Blue/ BitterSweet,81% Nylon 19% Spandex,"//carbon38.com/cdn/shop/files/CARB-YD371-BLUE-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Sky-Blue-BitterSweet_11149-Edit.jpg?v=1736884896&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-BLUE-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Sky-Blue-BitterSweet_11174-Edit.jpg?v=1736884896&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-BLUE-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Sky-Blue-BitterSweet_11155-Edit.jpg?v=1736884896&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-BLUE-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Sky-Blue-BitterSweet_11158-Edit.jpg?v=1736884896&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-BLUE-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Sky-Blue-BitterSweet_11165-Edit.jpg?v=1736884896&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-BLUE-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Sky-Blue-BitterSweet_11141-Edit.jpg?v=1736884896&width=1000,//carbon38.com/cdn/shop/files/SKY-BLUE-MELT_19159-Edit.jpg?v=1749238583&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-BLUE-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Sky-Blue-BitterSweet_10533-Edit.jpg?v=1742402576&width=1000",$92.00 USD,//carbon38.com/cdn/shop/files/CARB-YD371-BLUE-24HOL-Colorblock-Scoop-Tank-in-Melt-color-Sky-Blue-BitterSweet_11149-Edit.jpg?v=1736884896&width=1000,7936759857341,Colorblock Scoop Tank in Melt,https://carbon38.com/products/colorblock-scoop-tank-in-melt-sky-blue-bittersweet,0,"XS,S,M,L,XL",CARB-YD371-BLUE-24HOL-XS
